"","noc_code","employment","median.income","mean.income","remote_work"
"1","10010",74540,93000,113400,1
"2","10011",50390,92000,102000,1
"3","10012",26670,93000,102500,1
"4","10019",46060,74000,97700,1
"5","10020",33185,97000,135600,1
"6","10021",74105,94000,125600,1
"7","10022",88440,75000,88100,1
"8","10029",20685,65500,81200,1
"9","10030",10445,93000,101700,1
"10","11100",197825,69000,86700,1
"11","11101",57330,79000,137200,1
"12","11102",94315,66500,105700,1
"13","11103",12620,63200,139000,1
"14","11109",28535,61600,78700,1
"15","11200",94885,71500,79200,1
"16","11201",97645,72000,87000,1
"17","11202",141355,50800,59300,1
"18","12012",2535,46000,48000,1
"19","12013",28215,56400,61100,1
"20","12100",48125,61200,67600,1
"21","12101",39830,55200,61350,1
"22","12102",49755,64000,71500,1
"23","12103",21060,36800,40680,0
"24","12104",32360,59200,59700,0
"25","12110",9085,25200,29600,1
"26","12111",6245,58000,57600,1
"27","12112",2845,53200,55450,1
"28","12113",5145,51200,51950,1
"29","12200",135850,35600,40160,1
"30","12201",30730,64500,66100,1
"31","12202",16835,67000,73600,1
"32","12203",14950,58400,66700,1
"33","13100",272280,46800,49880,1
"34","13101",39720,44000,51250,1
"35","13102",39925,54400,54550,1
"36","13110",264150,38800,38440,1
"37","13111",43425,46400,46200,1
"38","13112",33655,37200,36720,0
"39","13200",4850,48000,55700,1
"40","13201",48835,51600,55850,0.650581190674665
"41","14100",177980,36800,37400,1
"42","14101",147475,23000,25960,0
"43","14102",11475,48400,48960,1
"44","14103",5105,53600,53450,0.74276527318328
"45","14110",11940,17400,28640,0.5
"46","14111",40820,32800,34160,1
"47","14112",770,49600,50100,1
"48","14200",166545,42800,45360,1
"49","14201",19150,47600,51200,1
"50","14202",12400,44800,44320,0
"51","14300",14120,21600,25880,0
"52","14301",19355,48800,49800,1
"53","14400",119965,35600,36800,0
"54","14402",8700,49200,53250,0
"55","14403",35085,40400,41760,1
"56","14404",30305,52800,56150,0.666666667
"57","14405",3950,54000,57400,1
"58","20010",31400,120000,138000,1
"59","20011",14890,1e+05,112100,1
"60","20012",82235,112000,129400,1
"61","21100",2620,97000,107800,1
"62","21101",16325,65000,70800,0
"63","21102",10880,84000,106300,1
"64","21103",915,1e+05,91000,1
"65","21110",34980,69500,75500,0.539526691355794
"66","21111",5165,75000,74700,0
"67","21112",6930,61200,63350,0
"68","21120",20010,74000,73800,0
"69","21200",18800,70500,82800,1
"70","21201",2030,64000,68100,1
"71","21202",19490,78500,82000,0
"72","21203",7210,67000,69300,0.5
"73","21210",13205,89000,107000,1
"74","21211",14155,84000,91000,1
"75","21220",14095,92000,97100,1
"76","21221",30310,79500,79400,1
"77","21222",131890,83000,84600,1
"78","21223",24525,73000,75400,1
"79","21230",41000,74000,78000,1
"80","21231",82890,95000,108300,1
"81","21232",87015,81000,87800,1
"82","21233",10825,34800,43200,1
"83","21234",49965,59200,63000,1
"84","21300",64670,86000,96300,1
"85","21301",54950,84000,95700,0.5
"86","21310",44580,95000,103100,1
"87","21311",24805,1e+05,111400,1
"88","21320",11310,90000,106900,0
"89","21321",16115,78000,86100,0.25
"90","21322",2630,98000,105800,0
"91","21330",3320,116000,151200,0
"92","21331",3655,93000,110400,0
"93","21332",5185,134000,157200,1
"94","21390",5505,94000,94900,1
"95","21399",6050,86000,87900,0.5
"96","22100",12555,56800,61250,0
"97","22101",7750,72500,83200,0.5
"98","22110",10285,46000,47560,0
"99","22111",3550,61200,59850,0
"100","22112",6685,53600,53850,0
"101","22113",3715,64000,59000,0.6
"102","22114",23925,31800,38240,0
"103","22210",13475,50400,53650,1
"104","22211",10225,54000,60550,1
"105","22212",27445,50800,53000,1
"106","22213",3300,50400,53550,0
"107","22214",8985,65500,65200,1
"108","22220",66285,66500,67600,1
"109","22221",61155,54400,57500,1
"110","22222",10200,51200,56600,1
"111","22230",6635,74500,79900,0
"112","22231",7195,82000,85900,0
"113","22232",19625,70500,72400,0.593281167264811
"114","22233",15620,65500,66800,0
"115","22300",22425,62400,63500,1
"116","22301",31250,70000,73500,0
"117","22302",16900,59200,62750,0
"118","22303",26260,65500,71300,1
"119","22310",44475,67500,70700,0
"120","22311",49920,48400,50000,0
"121","22312",9080,92000,98000,0
"122","22313",5570,76000,75500,0
"123","30010",37340,95000,97200,1
"124","31100",32985,146000,172400,0.142857143
"125","31101",9610,149000,182400,0.142857143
"126","31102",54325,118000,139400,0
"127","31103",10865,85000,90200,0
"128","31110",19905,87000,101400,0
"129","31111",6055,79500,84300,0
"130","31112",12445,70000,66300,0.5
"131","31120",41945,96000,90600,0
"132","31121",11150,62800,58400,0
"133","31200",18900,77000,77200,1
"134","31201",8305,48800,58550,0
"135","31202",26185,64000,61900,0
"136","31203",17615,72500,67500,0
"137","31204",10660,36400,40120,0.5
"138","31209",6805,31000,43560,0
"139","31300",14520,84000,80700,0
"140","31301",324220,76500,73200,0
"141","31302",6505,109000,101000,0
"142","31303",2910,72000,66700,0.281645906666959
"143","32100",9555,42000,44360,0
"144","32101",73385,55600,52600,0
"145","32102",30340,81000,78900,0
"146","32103",13265,77500,75100,0
"147","32104",21220,32800,33480,0
"148","32109",17945,38000,39280,0.12396636803669
"149","32110",2365,38000,51900,0
"150","32111",27930,44400,44960,0
"151","32112",4945,36000,39880,0
"152","32120",20180,72000,68600,0
"153","32121",20035,71500,68600,0
"154","32122",6650,70000,65300,0
"155","32123",3135,56400,55350,0
"156","32124",26560,39600,41000,0
"157","32129",5005,48400,50240,0
"158","32200",4295,17000,24760,0
"159","32201",37720,18800,23600,0
"160","32209",4750,8200,17700,0
"161","33100",36555,30600,31400,0
"162","33101",20025,44800,43920,0
"163","33102",337655,36000,36520,0
"164","33103",30980,28800,29240,0.0686753838781126
"165","33109",35540,30200,35280,0.186767169432161
"166","40019",5010,101000,99900,1
"167","40020",17785,88000,92800,1
"168","40021",31570,114000,108100,0.5
"169","40030",34225,64000,69400,1
"170","40040",2170,130000,131000,0
"171","40041",2690,116000,113500,0
"172","41100",3240,278000,260000,0
"173","41101",96330,105000,147800,1
"174","41200",74610,109000,109000,0.970588235
"175","41201",100070,13600,27920,1
"176","41210",100410,67500,64900,0.971428571
"177","41220",153335,82000,72000,1
"178","41221",295900,73000,65500,1
"179","41300",66005,67500,64500,0
"180","41301",34175,50000,50920,0.764239945611207
"181","41302",27810,48800,49760,1
"182","41310",3610,119000,111600,0.145561315962654
"183","41311",5280,80000,74600,1
"184","41320",26965,62400,60600,1
"185","41321",11585,49600,50440,0.783837888846305
"186","41400",35545,78500,82500,0.75
"187","41401",22635,89000,107600,1
"188","41402",41410,68000,81900,1
"189","41403",42115,68500,68000,1
"190","41404",27115,70000,70900,0.5
"191","41405",26390,65000,63150,1
"192","41406",10160,48400,50240,1
"193","41407",13575,74000,76300,0
"194","42100",73090,109000,104000,0
"195","42101",33575,109000,102700,0
"196","42200",31205,53600,55650,1
"197","42201",176975,43600,43560,0.359361579204997
"198","42202",224080,25200,27360,1
"199","42203",33340,43600,43320,0.666666667
"200","43100",104550,30400,29920,1
"201","43109",33475,7400,17140,1
"202","43200",5290,68000,65300,0
"203","43201",24605,82000,78400,0
"204","43202",10520,65500,63450,0.25
"205","43203",10285,85000,75100,0
"206","44100",49205,10300,16200,1
"207","44101",49850,23600,27440,0
"208","45100",30255,6320,10580,0.754889371789806
"209","50011",7820,60400,74300,0
"210","50012",12720,50800,64000,0
"211","51100",8945,68000,65400,1
"212","51101",2005,54000,53050,0.5
"213","51102",1565,54800,53750,1
"214","51110",13855,38800,43000,1
"215","51111",21690,20200,35000,1
"216","51112",8325,66500,66300,1
"217","51113",10270,51200,55400,1
"218","51114",16890,34000,41000,0
"219","51120",31925,52000,60050,0.4
"220","51121",3255,15100,27840,0.666666667
"221","51122",29130,8100,17000,0
"222","52100",9990,42000,42080,1
"223","52110",5050,26800,36720,0
"224","52111",12135,51600,62050,1
"225","52112",1845,70500,67900,1
"226","52113",25070,39200,43200,1
"227","52114",4725,44800,61750,0
"228","52119",27220,62400,70400,0.5
"229","52120",76660,40800,46920,1
"230","52121",26585,31600,39720,1
"231","53100",6105,13600,22220,0
"232","53110",15710,10800,21860,1
"233","53111",12025,30600,35600,0
"234","53120",8535,7450,14480,0
"235","53121",13970,7600,21500,0.336236474003695
"236","53122",14975,6040,16020,1
"237","53123",12195,29600,39920,1
"238","53124",14120,9300,17980,0
"239","53125",635,34000,35800,1
"240","53200",2800,17200,98400,1
"241","53201",13940,21200,35480,1
"242","53202",1760,3680,18940,0
"243","54100",99150,6650,14720,0
"244","55109",3540,8900,25500,1
"245","60010",76935,97000,113600,1
"246","60020",377880,50400,64700,1
"247","60030",138395,33200,40280,0
"248","60031",25505,40000,49600,0
"249","60040",24825,31000,40800,0
"250","62010",61520,33600,38760,0.177494054324696
"251","62020",71205,29200,34800,0
"252","62021",1935,39600,42000,0
"253","62022",5975,25800,31360,0
"254","62023",10585,54000,57700,1
"255","62024",13140,40800,42720,0
"256","62029",11150,40000,41640,1
"257","62100",50240,82000,100500,1
"258","62101",34495,37600,47440,1
"259","62200",62880,25000,30280,0
"260","62201",5210,54000,60100,0
"261","62202",3365,16600,24560,0.25
"262","63100",77515,53200,66900,1
"263","63101",97705,38000,61650,0
"264","63102",58590,53600,72100,1
"265","63200",179445,16000,20540,0
"266","63201",10605,33600,33600,0
"267","63202",44755,21200,24520,0
"268","63210",86365,12700,17200,0
"269","63211",57440,10900,16400,0.25
"270","63220",10010,46800,50000,0
"271","63221",3380,28800,31280,0
"272","64100",629295,17600,28560,0.0197749173720836
"273","64101",61250,57200,69300,1
"274","64200",17180,16200,19240,0
"275","64201",2115,19400,39160,0.5
"276","64300",20175,5560,8280,0
"277","64301",28865,10900,13960,0
"278","64310",17695,23000,29080,0
"279","64311",11840,38800,41880,0
"280","64312",11160,31400,36960,0
"281","64313",1715,54000,53200,0.5
"282","64314",16715,20000,22240,0
"283","64320",2670,7300,14980,0
"284","64321",6995,12800,18100,0.25
"285","64322",2375,14800,19100,1
"286","64400",58750,35200,38160,1
"287","64401",7375,31800,35080,0
"288","64409",243205,34000,36880,1
"289","64410",116450,32000,35160,0.5
"290","65100",358760,11100,17360,0
"291","65101",8975,12700,17800,0
"292","65102",225115,16400,20920,0.25
"293","65109",27970,13200,26640,0.5
"294","65200",127700,9900,13320,0
"295","65201",391160,10600,15900,0
"296","65202",6845,34800,35000,0
"297","65210",3115,18800,29400,0
"298","65211",34780,8200,16600,0.645800168555108
"299","65220",25095,13400,19680,0
"300","65229",2220,7750,16840,1
"301","65310",251930,17400,22440,0
"302","65311",40005,21000,26080,0
"303","65312",108925,30200,32000,0
"304","65320",17285,25400,26760,0
"305","65329",24945,13100,20680,0.450366578386409
"306","70010",88725,76000,85400,0
"307","70011",47050,24000,37240,0
"308","70012",73020,65000,74700,1
"309","70020",39275,78000,88400,0.75
"310","70021",4010,64500,68100,1
"311","72010",13520,74500,79200,0
"312","72011",22355,79000,82400,0
"313","72012",7485,82000,82600,0
"314","72013",14550,59200,60950,0
"315","72014",42120,47600,54900,0
"316","72020",25520,74500,79800,0
"317","72021",42270,81000,86000,0
"318","72022",2030,56400,57150,0
"319","72023",1225,96000,97600,0
"320","72024",10425,62400,64800,0
"321","72025",8380,59600,56500,1
"322","72100",37095,54000,55250,0
"323","72101",10045,60000,61550,0
"324","72102",18990,53600,54600,0
"325","72103",3810,62000,68400,0
"326","72104",6555,54800,55900,0
"327","72105",12925,61200,63100,0
"328","72106",87165,49600,53800,0
"329","72200",97680,53200,55900,0
"330","72201",21960,89000,91100,0
"331","72202",4975,95000,95400,0
"332","72203",13300,107000,105700,0
"333","72204",9700,59600,59000,0
"334","72205",20485,63200,62650,0
"335","72300",50615,52400,54150,0
"336","72301",20825,67000,68900,0
"337","72302",6620,56400,61500,0
"338","72310",155690,40400,43000,0
"339","72311",15900,34000,34960,0
"340","72320",16300,41200,44680,0
"341","72321",8825,48400,51800,0
"342","72400",65385,74000,77900,0
"343","72401",44340,74000,79300,0
"344","72402",29605,59600,62450,0
"345","72403",2495,84000,81000,0
"346","72404",18495,72500,71300,0
"347","72405",2140,61600,62150,0
"348","72406",5845,102000,101500,0
"349","72410",147535,49200,51900,0
"350","72411",28690,43200,46880,0
"351","72420",1585,47200,50440,0
"352","72421",5480,35200,39840,0
"353","72422",10465,60400,61500,0
"354","72423",6580,47200,48280,0
"355","72429",2580,30800,34040,0
"356","72500",13730,76500,81900,0
"357","72501",580,50400,50600,0
"358","72600",17490,92000,109400,0.122749590711948
"359","72601",4655,107000,122500,1
"360","72602",5925,91000,103900,0
"361","72603",1440,96000,99800,0
"362","72604",1355,86000,85700,0
"363","72999",8900,45200,49080,0
"364","73100",8785,48400,50360,0
"365","73101",8135,31400,35680,0
"366","73102",26455,35200,38080,0
"367","73110",21680,33200,38120,0
"368","73111",8130,45600,46000,0
"369","73112",38795,21400,27760,1
"370","73113",10475,27800,32720,0
"371","73200",48330,30400,34600,0.2
"372","73201",98405,38000,40240,0
"373","73202",4060,39200,41600,0
"374","73300",350460,42400,45240,0
"375","73301",96240,27800,40240,0
"376","73310",5970,116000,109100,0
"377","73311",5655,81000,79400,0
"378","73400",93255,60800,65900,0
"379","73401",14300,43600,45160,0
"380","73402",4245,68500,70400,0
"381","74100",23075,40800,42560,0
"382","74101",33235,61200,55050,0
"383","74102",32995,33600,38160,0.205305062374931
"384","74200",5665,77500,75300,0
"385","74201",4615,58800,56600,0
"386","74202",9315,32800,36560,1
"387","74203",14175,31800,39480,0
"388","74204",5960,60800,63050,0
"389","74205",15465,50400,48640,0
"390","75100",5710,87000,90000,0
"391","75101",218515,36800,42400,0.289527033310395
"392","75110",200790,32400,38680,0
"393","75119",12185,28000,34440,0
"394","75200",53510,7300,13860,0
"395","75201",90360,18600,25960,0.205305062374931
"396","75210",2875,40000,45600,0
"397","75211",4865,34800,39680,0
"398","75212",31655,44000,43160,0
"399","80020",141855,19200,28440,0
"400","80021",3470,34000,44920,0
"401","80022",875,58400,59300,0
"402","82010",6245,72500,80800,0
"403","82020",7980,122000,121300,0
"404","82021",10140,98000,109700,0
"405","82030",2800,44400,46280,0.333333333
"406","82031",19400,42000,48080,0.333333333
"407","83100",13765,106000,101900,0
"408","83101",6875,64500,74000,0
"409","83110",6985,57200,58800,0
"410","83120",1085,55200,72200,0
"411","83121",11115,22400,31960,0
"412","84100",4195,80000,80700,0
"413","84101",5620,75500,80900,0
"414","84110",6885,31400,38200,0
"415","84111",7630,26600,33480,0
"416","84120",41810,23600,29000,0.0303561791385591
"417","84121",9405,20600,29520,0
"418","85100",26820,18000,24660,0.0303561791385591
"419","85101",12450,12500,17520,0
"420","85102",2585,23200,31880,0
"421","85103",16345,16800,21720,0
"422","85104",385,9900,23400,0
"423","85110",2765,47600,59800,0
"424","85111",6830,45200,51550,0
"425","85121",109675,15900,22380,0
"426","90010",70875,81000,97400,0.5
"427","90011",11295,125000,143000,0
"428","92010",5560,81000,86500,0
"429","92011",12070,98000,111000,0
"430","92012",15370,58000,59300,0
"431","92013",3515,60800,63050,0
"432","92014",5640,76500,76500,0
"433","92015",1105,43600,45000,0
"434","92020",8365,72500,77400,0
"435","92021",2205,57200,61000,0
"436","92022",1615,52800,53450,0
"437","92023",2865,72500,73700,0
"438","92024",3025,57600,61350,0
"439","92100",34540,86000,100200,0
"440","92101",13360,69500,68000,0
"441","93100",2430,98000,93700,0
"442","93101",22100,103000,113700,0
"443","93102",745,90000,87800,0
"444","93200",5635,64500,62150,0
"445","94100",8395,80000,79400,0
"446","94101",2420,52000,57500,0
"447","94102",2200,37600,38440,0
"448","94103",3660,43200,47440,0
"449","94104",2270,53600,56700,0
"450","94105",11380,44000,45000,0
"451","94106",8665,46800,48720,0
"452","94107",2815,46000,47560,0
"453","94110",7390,51600,59950,0
"454","94111",13485,40400,43160,0
"455","94112",5215,50800,50000,0
"456","94120",6225,47600,49160,0
"457","94121",5025,82000,81400,0
"458","94122",3565,54800,53700,0
"459","94123",2540,52400,53600,0
"460","94124",6585,35600,37200,0
"461","94129",2145,54800,55550,0
"462","94130",2720,31800,32400,0
"463","94131",2095,29800,31920,0
"464","94132",13495,22400,24220,0
"465","94133",1620,27000,28720,0
"466","94140",48305,45200,47360,0
"467","94141",15860,43600,41600,0
"468","94142",7370,15300,20580,0
"469","94143",7695,37200,40120,0
"470","94150",6815,37600,37440,1
"471","94151",2035,47600,49040,1
"472","94152",3590,32800,33960,0
"473","94153",1280,24600,28960,0
"474","94200",68960,43600,46320,0
"475","94201",13050,35200,36560,0
"476","94202",7220,36400,38320,0
"477","94203",2440,44000,46720,0
"478","94204",10445,44400,46040,0
"479","94205",870,40400,43700,0
"480","94210",16770,32400,32400,0
"481","94212",4990,36800,36640,0
"482","94213",15050,44800,47560,0
"483","94219",19790,32800,35440,0
"484","95100",9420,42800,47080,0
"485","95101",13225,34800,37240,0
"486","95102",19680,29400,34360,0
"487","95103",17675,38000,41640,0
"488","95104",9035,33600,35720,0
"489","95105",5735,23400,26440,0
"490","95106",82620,30600,31760,0
"491","95107",8710,14900,18640,0
"492","95109",85125,27600,30040,0
